소재지지번주소,위도,경도
충청남도 아산시 둔포면 둔포리 415-8,36.927442,127.037749
충청남도 아산시 배방읍 북수리 1189,36.77355553,127.0707869
충청남도 아산시 신창면 읍내리 473-1,36.77742002,126.9348133
충청남도 아산시 온천동 260-76,36.78409937,126.9989665
충청남도 아산시 온천동 760,,127.002717
충청남도 아산시 권곡동 532-14,36.78873706,127.0138616
충청남도 아산시 권곡동 536-57,36.78927343,127.0119431
충청남도 아산시 권곡동 532-7,36.78760631,127.012503
충청남도 아산시 모종동 432-1,36.77947739,127.0189934
충청남도 아산시 모종동 593-3,36.78073968,127.0137061
충청남도 아산시 모종동 618,36.784487,127.019439
충청남도 아산시 방축동 113-24,36.78200156,126.9894528
충청남도 아산시 실옥동 178-19,36.788384,126.992014
충청남도 아산시 온천동 1477,36.78913886,126.9993558
충청남도 아산시 용화동 632,36.77678451,126.996239
충청남도 아산시 도고면 시전리 197-22,36.745589,126.899176
충청남도 아산시 둔포면 석곡리 125-4,36.91646669,127.0663822
충청남도 아산시 배방읍 북수리 5,36.776147,127.080783
충청남도 아산시 배방읍 신흥리 264-4,36.749469,127.041311
충청남도 아산시 배방읍 중리 263,36.750355,127.040945
충청남도 아산시 배방읍 중리 345-3,36.749279,127.040932
충청남도 아산시 배방읍 북수리 302-1,36.768743,127.078829
충청남도 아산시 배방읍 공수리 286-27,36.77230744,127.0628582
충청남도 아산시 선장면 군덕리 산4-78,36.788985,126.866994
충청남도 아산시 송악면 송학리 28,36.69199291,126.9889783
충청남도 아산시 송악면 역촌리 11-1,36.73272619,127.0095273
충청남도 아산시 송악면 역촌리 11-1,36.73275998,127.0096057
충청남도 아산시 신창면 남성리 119-5,36.787973,126.957014
충청남도 아산시 신창면 오목리 307-5,36.808344,126.926797
충청남도 아산시 염치읍 송곡리 75-1,36.806778,127.016462
충청남도 아산시 영인면 신화리 352-1,36.88614329,126.9681864
충청남도 아산시 영인면 신화리 273-6,36.885217,126.968871
충청남도 아산시 영인면 신화리 352-1,36.8862063,126.968163
충청남도 아산시 영인면 아산리 424-3,36.85421705,126.9538721
충청남도 아산시 영인면 아산리 457-1,36.8550102,126.9544855
충청남도 아산시 온천동 1859,36.7865751,127.0035066
충청남도 아산시 온천동 80-15,36.782204,127.000425
충청남도 아산시 모종동 607,36.785199,127.013743
충청남도 아산시 모종동 586-4,36.778797,127.018752
충청남도 아산시 모종동 585-8,36.78038327,127.0173759
충청남도 아산시 신동 161-8,36.778672,
충청남도 아산시 방축동 151-32,36.787305,126.987184
충청남도 아산시 배미동 239-42,36.787979,126.969365
충청남도 아산시 배미동 174-2,36.789076,126.968753
충청남도 아산시 방축동 439-6,36.772786,126.982399
충청남도 아산시 점양동 118-9,36.768874,126.970839
충청남도 아산시 용화동 427-2,36.771212,126.994355
충청남도 아산시 온천동 735,36.777311,127.0013218
충청남도 아산시 용화동 710,36.772746,126.996171
충청남도 아산시 용화동 711,36.7737432,126.9968188
충청남도 아산시 초사동 131-7,36.751587,126.974423
충청남도 아산시 초사동 112-5,36.751708,126.973717
충청남도 아산시 읍내동 141-1,36.760297,127.018708
충청남도 아산시 음봉면 쌍룡리 56-2,36.879438,127.074463
충청남도 아산시 인주면 걸매리 1048,36.87359746,126.8797539
충청남도 아산시 인주면 금성리 82-5,36.84357245,126.8795094
충청남도 아산시 인주면 금성리 95-8,36.844331,126.880735
충청남도 아산시 인주면 신성리 185-105,36.875607,126.893867
충청남도 아산시 도고면 시전리 198-8,36.745418,
충청남도 아산시 둔포면 둔포리 280-4,36.927119,127.044814
충남 아산시 배방읍 북수리 산 62-3,36.770573,127.069867
충청남도 아산시 배방읍 북수리 355-19,36.774181,127.077149
충청남도 아산시 선장면 군덕리 83-1,36.78774706,126.8614586
충청남도 아산시 선장면 군덕리 228-6,36.77642089,126.8621847
충청남도 아산시 신창면 남성리 833,36.789548,126.952348
충청남도 아산시 신창면 읍내리 579-24,36.77241016,126.9354504
충청남도 아산시 온천동 204-9,36.78156948,126.9978491
충청남도 아산시 모종동 564-25,36.78327638,127.013152
충청남도 아산시 방축동 113-41,36.782072,126.990148
충청남도 아산시 실옥동 17-55,36.78726449,126.9964177
충청남도 아산시 용화동 713,36.7717698,126.9962476
충청남도 아산시 용화동 611,36.7756086,126.9985214
충청남도 아산시 탕정면 동산리 478-4,36.819527,127.083883
충청남도 아산시 탕정면 갈산리 548-3,36.80114673,127.0645037
충청남도 아산시 도고면 기곡리 286,36.763646,
충청남도 아산시 도고면 신언리 257-2,36.771691,126.865285
충청남도 아산시 둔포면 운용리 337-111,36.93289992,127.0587272
충청남도 아산시 배방읍 북수리 1199,36.77660852,127.0088494
